Title,Author,PublishedDate,PageCount,Categories,AverageRating,Language
BIG DUMB EYES,by Nate Bargatze,2021-06-10,168,Comics & Graphic Novels,N/A,en
MATRIARCH,by Tina Knowles with Kevin Carr O'Leary,1936,1504,English fiction,N/A,en
THE ANXIOUS GENERATION,by Jonathan Haidt,2024-03-26,401,Psychology,N/A,en
MY NEXT BREATH,by Jeremy Renner,2022-03-09,123,"Body, Mind & Spirit",N/A,en
TINA,by Niall Harbison,2010-06-22,0,Biography & Autobiography,N/A,en
I REGRET ALMOST EVERYTHING,by Keith McNally,2025-05-06,320,Biography & Autobiography,N/A,en
KAREN,by Kelsey Grammer,2021-01-05,114,Humor,N/A,en
ABUNDANCE,by Ezra Klein and Derek Thompson,2014-09-23,432,Business & Economics,N/A,en
EVERYTHING IS TUBERCULOSIS,by John Green,2025-03-18,257,Social Science,N/A,en
THE FATE OF THE DAY,by Rick Atkinson,2019-05-14,664,History,N/A,en
UPTOWN GIRL,by Christie Brinkley with Sarah Toland,2011-04-14,9,Fiction,N/A,en
HOPE,by Pope Francis with Carlo Musso,2020-10-27,152,Science,N/A,en
THE KINGDOM OF CAIN,by Andrew Klavan,2011-04-09,437,Conspiracy,N/A,en
THE SERVICEBERRY,by Robin Wall Kimmerer,2024-11-19,128,Nature,N/A,en
OUTLIVE,by Peter Attia with Bill Gifford,N/A,84,Health & Fitness,N/A,en
